antecedents,consequents,support,confidence,lift
frozenset({'Customer_Seniority_Low'}),frozenset({'Response_0'}),0.30714285714285716,0.9136786188579017,1.073788093516107
frozenset({'Response_0'}),frozenset({'Customer_Seniority_Low'}),0.30714285714285716,0.3609653725078699,1.073788093516107
frozenset({'Response_0'}),frozenset({'Customer_Seniority_Med'}),0.29151785714285716,0.34260230849947537,1.0356668974882925
frozenset({'Customer_Seniority_Med'}),frozenset({'Response_0'}),0.29151785714285716,0.8812415654520919,1.0356668974882928
frozenset({'Engagement_Score_Low'}),frozenset({'Response_0'}),0.36160714285714285,0.9288990825688073,1.0916757318751984
frozenset({'Response_0'}),frozenset({'Engagement_Score_Low'}),0.36160714285714285,0.4249737670514166,1.0916757318751986
frozenset({'Response_0'}),frozenset({'Income_Low'}),0.2950892857142857,0.3467995802728227,1.0399344843522396
frozenset({'Income_Low'}),frozenset({'Response_0'}),0.2950892857142857,0.8848728246318609,1.0399344843522396
frozenset({'Income_Med'}),frozenset({'Response_0'}),0.2995535714285714,0.8994638069705094,1.0570823334805568
frozenset({'Response_0'}),frozenset({'Income_Med'}),0.2995535714285714,0.35204616998950683,1.0570823334805568
frozenset({'NumWebPurchases_Low'}),frozenset({'Response_0'}),0.32321428571428573,0.9329896907216496,1.0964831622332083
frozenset({'Response_0'}),frozenset({'NumWebPurchases_Low'}),0.32321428571428573,0.3798530954879329,1.0964831622332083
frozenset({'Recency_High'}),frozenset({'Response_0'}),0.30625,0.9195710455764077,1.0807130860918956
frozenset({'Response_0'}),frozenset({'Recency_High'}),0.30625,0.35991605456453307,1.0807130860918956
frozenset({'Recency_Med'}),frozenset({'Response_0'}),0.2839285714285714,0.8700410396716826,1.0225036352909596
frozenset({'Response_0'}),frozenset({'Recency_Med'}),0.2839285714285714,0.3336831059811123,1.0225036352909596
frozenset({'Total_Spent_Low'}),frozenset({'Response_0'}),0.30892857142857144,0.9251336898395723,1.0872505064221627
frozenset({'Response_0'}),frozenset({'Total_Spent_Low'}),0.30892857142857144,0.36306400839454356,1.0872505064221627
frozenset({'Total_Spent_Med'}),frozenset({'Response_0'}),0.29151785714285716,0.8765100671140941,1.0301062698507717
frozenset({'Response_0'}),frozenset({'Total_Spent_Med'}),0.29151785714285716,0.34260230849947537,1.0301062698507717
frozenset({'Response_1'}),frozenset({'Customer_Seniority_High'}),0.08080357142857143,0.5419161676646707,1.6272013613523624
frozenset({'Customer_Seniority_High'}),frozenset({'Response_1'}),0.08080357142857143,0.24262734584450404,1.6272013613523624
frozenset({'Engagement_Score_High'}),frozenset({'Response_1'}),0.06875,0.2190611664295875,1.4691527329409462
frozenset({'Response_1'}),frozenset({'Engagement_Score_High'}),0.06875,0.46107784431137727,1.4691527329409462
frozenset({'Engagement_Score_Med'}),frozenset({'Response_1'}),0.05267857142857143,0.1774436090225564,1.1900409706901987
frozenset({'Response_1'}),frozenset({'Engagement_Score_Med'}),0.05267857142857143,0.3532934131736527,1.1900409706901987
frozenset({'Income_High'}),frozenset({'Response_1'}),0.07723214285714286,0.2315930388219545,1.5531988232370602
