ID,pca1,pca2,cluster,Income,Recency,MntWines,MntMeatProducts,Kidhome
5524,4.723619763057129,0.6814104153488779,1,58138.0,58,635,546,0
2174,-3.4067631017888957,-0.19460710742714502,0,46344.0,38,11,6,1
4141,2.121841986492362,0.001874880539263625,1,71613.0,26,426,127,0
6182,-3.1149867058649052,-1.30446306439107,0,26646.0,26,11,20,1
5324,-0.37590690128110255,0.36901124939417274,2,58293.0,94,173,118,1
7446,1.184676782526712,1.5968553855333811,2,62513.0,16,520,98,0
965,0.8965675803504273,1.8556960837240621,2,55635.0,34,235,164,0
6177,-2.506321903275319,-0.3975907826992228,0,33454.0,32,76,56,1
4855,-3.1329927138024876,-1.0163567158562712,0,30351.0,19,14,24,1
5899,-4.557223069223173,0.9017524819439795,0,5648.0,68,28,6,1
1994,-3.3662505555099034,-1.7804860582664512,0,51381.5,11,5,6,1
387,-2.740937104344458,-1.3984188552761871,0,7500.0,59,6,11,0
2125,2.867474890163989,-1.9725311435977884,1,63033.0,82,194,480,0
8180,-1.5693778039233905,1.7094880194181226,2,59354.0,53,233,53,1
2569,-2.8660769801668997,-1.7316364165503537,0,17323.0,38,3,17,0
2114,5.597628973292594,-0.7907474501493114,3,82800.0,23,1006,115,0
9736,-3.0968334702622657,0.9113714103556797,0,41850.0,51,53,19,1
4939,-0.4034409918328046,-0.13376465238657503,0,37760.0,20,84,38,0
6565,4.981168289922219,2.0399141563333396,1,76995.0,91,1012,498,0
2278,-2.454168594350673,-0.9639033223212679,0,33812.0,86,4,19,1
9360,-0.6673001702753084,-0.689539844837795,0,37040.0,41,86,73,0
5376,3.6766124543298373,2.40376091063778,1,2447.0,42,1,1725,1
1993,0.9238512325313851,1.6793236067542012,2,58607.0,63,867,86,0
4047,0.42879089088487393,1.36798806068869,2,65324.0,0,384,102,0
1409,-0.4402508005345094,3.0585691302600306,2,40689.0,69,270,27,0
7892,-2.341386103377563,-1.1230241978841784,0,18589.0,89,6,25,0
2404,-2.0047968461794974,1.6128066188063408,0,53359.0,4,173,30,1
5255,3.2455354450586564,2.241136965866326,2,51381.5,19,5,3,1
9422,-2.398148282899409,-1.5128977935144197,0,38360.0,26,36,42,1
1966,5.507813812965607,-1.4194099814028875,3,84618.0,96,684,801,0
6864,-2.773698546293577,-2.0227846142162584,0,10979.0,34,8,10,0
3033,-0.5458288271335634,-1.6103947467654758,0,38620.0,56,112,44,0
5710,-1.7051225509484595,-0.1432858667611368,0,40548.0,31,110,5,0
7373,-0.955429596417513,2.9908335788072775,2,46610.0,8,96,96,0
8755,2.6112615193310105,-0.3388709673129169,1,68657.0,4,482,471,0
10738,-3.212733996000244,0.263346527442698,0,49389.0,55,40,19,1
4339,1.9734789354800997,2.102447906581907,2,67353.0,37,702,151,0
10755,-2.931712079406255,-0.5742156296669542,0,23718.0,76,6,14,1
8595,-2.679953437629027,-0.780071318587363,0,42429.0,99,55,6,0
2968,3.0514794582597027,0.28504570986505545,1,48948.0,53,437,206,0
8601,3.7500422370872237,0.5589018060735557,1,80011.0,3,421,536,0
503,-3.374855762727749,-0.8256529524362565,0,20559.0,88,13,29,1
8430,-3.19856233896151,-0.7766580858877379,0,21994.0,4,9,6,0
7281,-1.238512468210017,-2.0492896826850964,0,51381.5,80,81,50,0
2139,-3.455550151311055,-1.0327965481865076,0,7500.0,19,3,10,1
1371,3.256876868209081,-2.343815217404564,1,79941.0,72,123,266,0
9909,-2.034170566511469,-0.9074497028269134,0,7500.0,24,3,14,0
7286,-3.2226149106114814,-0.7785393398543412,0,41728.0,92,13,15,1
7244,-3.2754174687437714,1.2443351983494695,0,51381.5,96,48,48,2
6566,1.8698928287450312,4.47026354881848,2,72550.0,39,826,317,1
8614,0.5687381042546569,0.02828060625783155,2,65486.0,29,245,125,0
4114,5.426761203491107,0.40369546877038415,1,79143.0,2,650,780,0
1331,-2.964349450008369,-0.8572234489900571,0,35790.0,54,12,20,1
2225,6.0495416385516485,-2.8591625938856255,3,82582.0,54,510,550,0
9381,0.1016776361103537,2.568982876268185,2,66373.0,57,328,124,1
6260,7.2960585644236735,-1.0386573125961314,3,82384.0,55,984,432,0
10383,3.3966483317557836,-0.8954055697595316,1,70287.0,30,295,482,0
7437,-3.280125690455071,-2.2589675439923624,0,27938.0,31,13,8,1
8557,-2.919964416591583,-1.1511971507984409,0,51381.5,57,11,22,1
8375,-0.17843747166867455,1.7376905244979197,2,55954.0,63,447,28,0
6853,4.747806301042872,-2.327254454482558,3,75777.0,12,712,538,0
3076,0.15978354765627825,2.189961815226446,2,66653.0,18,452,102,1
1012,1.7491637990107678,3.1369515302674595,2,61823.0,26,523,134,0
6518,0.5013636711359851,1.4956206769608644,2,67680.0,8,546,48,0
4137,2.4381314644594934,-1.0536373818157898,1,70666.0,29,398,367,0
8082,-3.1875576950196995,-1.4843094828731416,0,25721.0,75,1,6,1
1386,-3.9690192561893882,-0.5367525941058356,0,32474.0,0,10,1,1
9369,5.631039746417358,0.8229444946620428,3,88194.0,19,688,309,0
4477,1.3175953510798577,0.7582445311941766,2,69096.0,4,247,159,0
1357,1.2276734651779948,2.981159491327654,2,74854.0,90,856,487,1
1402,3.1847468968150774,-0.355704991299978,1,66991.0,1,496,460,0
10629,-2.538073540290431,-0.08829272388439084,0,51381.5,25,25,43,1
6312,3.1119683111783663,3.3485108785227458,2,65031.0,29,258,291,0
8132,0.4818981912234003,3.24979182931758,2,60631.0,88,565,65,1
1050,-1.98407338520548,-2.1408790773448465,0,28332.0,58,14,13,0
5846,-3.40541624853117,-1.4912616691941147,0,40246.0,68,2,6,1
1859,4.276218392459693,-0.93291718654958,1,75251.0,34,721,925,0
7503,6.094576072158845,-1.4269302555628949,1,75825.0,40,1032,779,0
10401,-2.9932895665049646,-2.588418716492617,0,26326.0,12,1,5,0
1618,1.3216018236811826,0.9217290062176177,2,56046.0,9,577,64,0
3332,-2.457461873593404,0.27004240301253135,0,29760.0,87,64,68,1
